	filename	mri_spacing	seg_spacing	mri_size	seg_size	max_label
0	crown_mr_whole_001	(0.3571428656578064, 0.3571428656578064, 0.49999794363975525)	(0.3571428656578064, 0.3571428656578064, 0.49999794363975525)	(560, 560, 160)	(560, 560, 160)	12
1	crown_mr_whole_002	(0.3571428656578064, 0.3571428656578064, 0.49999818205833435)	(0.3571428656578064, 0.3571428656578064, 0.49999818205833435)	(560, 560, 160)	(560, 560, 160)	12
2	crown_mr_whole_003	(0.3571428656578064, 0.3571428656578064, 0.5000039339065552)	(0.3571428656578064, 0.3571428656578064, 0.5000039339065552)	(378, 510, 140)	(378, 510, 140)	12
3	crown_mr_whole_004	(0.3571428954601288, 0.3571428656578064, 0.49999913573265076)	(0.3571428954601288, 0.3571428656578064, 0.49999913573265076)	(385, 495, 160)	(385, 495, 160)	12
4	crown_mr_whole_005	(0.3571428656578064, 0.3571428656578064, 0.500001847743988)	(0.3571428656578064, 0.3571428656578064, 0.500001847743988)	(560, 560, 140)	(560, 560, 140)	12
5	crown_mr_whole_007	(0.3571428656578064, 0.3571428656578064, 0.4999988377094269)	(0.3571428656578064, 0.3571428954601288, 0.4999988079071045)	(560, 560, 140)	(560, 560, 140)	12
6	crown_mr_whole_008	(0.3571428656578064, 0.3571428656578064, 0.5000059008598328)	(0.3571428656578064, 0.3571428656578064, 0.5000059008598328)	(374, 498, 160)	(374, 498, 160)	12
7	crown_mr_whole_009	(0.3571428656578064, 0.3571428656578064, 0.5000001788139343)	(0.3571428656578064, 0.3571428656578064, 0.5000001788139343)	(560, 560, 140)	(560, 560, 140)	12
8	crown_mr_whole_010	(0.3571428656578064, 0.3571428656578064, 0.4999983012676239)	(0.3571428656578064, 0.3571428656578064, 0.4999983012676239)	(560, 560, 140)	(560, 560, 140)	12
9	crown_mr_whole_011	(0.3571428656578064, 0.3571428656578064, 0.5000029802322388)	(0.3571428656578064, 0.3571428656578064, 0.5000029802322388)	(560, 560, 140)	(560, 560, 140)	12
10	crown_mr_whole_012	(0.3571428656578064, 0.3571428656578064, 0.4999969005584717)	(0.3571428656578064, 0.3571428656578064, 0.49999693036079407)	(560, 560, 140)	(560, 560, 140)	12
11	crown_mr_whole_013	(0.3571428656578064, 0.3571428656578064, 0.4999966621398926)	(0.3571428656578064, 0.3571428656578064, 0.49999669194221497)	(560, 560, 160)	(560, 560, 160)	15
12	crown_mr_whole_014	(0.3571428656578064, 0.3571428656578064, 0.5000030398368835)	(0.3571428656578064, 0.3571428656578064, 0.5000030398368835)	(560, 560, 160)	(560, 560, 160)	12
13	crown_mr_whole_015	(0.3571428656578064, 0.3571428656578064, 0.49999889731407166)	(0.3571428656578064, 0.3571428656578064, 0.49999889731407166)	(560, 560, 160)	(560, 560, 160)	12
14	crown_mr_whole_016	(0.3571428656578064, 0.3571428656578064, 0.5000012516975403)	(0.357142835855484, 0.3571428954601288, 0.5000012516975403)	(560, 560, 160)	(560, 560, 160)	12
15	crown_mr_whole_017	(0.3571428656578064, 0.3571428656578064, 0.5000028014183044)	(0.3571428656578064, 0.3571428954601288, 0.5000028014183044)	(560, 560, 160)	(560, 560, 160)	12
16	crown_mr_whole_018	(0.3571428656578064, 0.3571428656578064, 0.4999997317790985)	(0.3571428656578064, 0.3571428656578064, 0.4999997317790985)	(560, 560, 140)	(560, 560, 140)	12
17	crown_mr_whole_019	(0.3571428656578064, 0.3571428656578064, 0.49999889731407166)	(0.3571428656578064, 0.3571428656578064, 0.49999889731407166)	(560, 560, 160)	(560, 560, 160)	12
18	crown_mr_whole_020	(0.3571428656578064, 0.3571428656578064, 0.5000004172325134)	(0.3571428656578064, 0.3571428656578064, 0.5000004172325134)	(378, 466, 160)	(378, 466, 160)	12
19	crown_mr_whole_030	(0.3571428656578064, 0.3571428656578064, 0.49999988079071045)	(0.3571428656578064, 0.3571428656578064, 0.49999991059303284)	(560, 560, 160)	(560, 560, 160)	15
