	filename	mri_spacing	seg_spacing	mri_size	seg_size	max_label
0	topcow_ct_001	(0.5078129768371582, 0.5078129768371582, 0.625)	(0.5078129768371582, 0.5078129768371582, 0.625)	(284, 327, 243)	(284, 327, 243)	12
1	topcow_ct_002	(0.45703125, 0.45703125, 0.699951171875)	(0.45703125, 0.45703125, 0.699951171875)	(289, 347, 203)	(289, 347, 203)	12
2	topcow_ct_003	(0.50390625, 0.50390625, 0.75)	(0.50390625, 0.50390625, 0.75)	(281, 313, 182)	(281, 313, 182)	12
3	topcow_ct_004	(0.40625, 0.40625, 0.70001220703125)	(0.40625, 0.40625, 0.70001220703125)	(351, 431, 224)	(351, 431, 224)	12
4	topcow_ct_005	(0.3984375, 0.3984375, 0.75)	(0.3984375, 0.3984375, 0.75)	(332, 417, 184)	(332, 417, 184)	12
5	topcow_ct_006	(0.484375, 0.484375, 0.75)	(0.484375, 0.484375, 0.75)	(286, 369, 216)	(286, 369, 216)	15
6	topcow_ct_007	(0.544921875, 0.544921875, 0.75)	(0.544921875, 0.544921875, 0.75)	(258, 321, 208)	(258, 321, 208)	12
7	topcow_ct_008	(0.50390625, 0.50390625, 0.75)	(0.50390625, 0.50390625, 0.75)	(270, 338, 204)	(270, 338, 204)	12
8	topcow_ct_009	(0.431640625, 0.431640625, 0.75)	(0.431640625, 0.431640625, 0.75)	(327, 403, 214)	(327, 403, 214)	12
9	topcow_ct_010	(0.431640625, 0.431640625, 0.75)	(0.431640625, 0.431640625, 0.75)	(295, 386, 196)	(295, 386, 196)	12
10	topcow_ct_011	(0.498046875, 0.498046875, 0.5)	(0.498046875, 0.498046875, 0.5)	(269, 334, 295)	(269, 334, 295)	15
11	topcow_ct_012	(0.498046875, 0.498046875, 0.5)	(0.498046875, 0.498046875, 0.5)	(266, 371, 311)	(266, 371, 311)	12
12	topcow_ct_013	(0.40234375, 0.40234375, 0.7000007629394531)	(0.40234375, 0.40234375, 0.7000007629394531)	(326, 433, 168)	(326, 433, 168)	12
13	topcow_ct_014	(0.552734375, 0.552734375, 0.75)	(0.552734375, 0.552734375, 0.75)	(247, 328, 211)	(247, 328, 211)	15
14	topcow_ct_015	(0.431640625, 0.431640625, 0.75)	(0.431640625, 0.431640625, 0.75)	(316, 390, 203)	(316, 390, 203)	12
15	topcow_ct_016	(0.431640625, 0.431640625, 0.75)	(0.431640625, 0.431640625, 0.75)	(306, 365, 182)	(306, 365, 182)	12
16	topcow_ct_017	(0.4375, 0.4375, 0.29998779296875)	(0.4375, 0.4375, 0.29998779296875)	(319, 430, 527)	(319, 430, 527)	12
17	topcow_ct_018	(0.482421875, 0.482421875, 0.75)	(0.482421875, 0.482421875, 0.75)	(286, 379, 202)	(286, 379, 202)	12
18	topcow_ct_019	(0.439453125, 0.439453125, 0.70001220703125)	(0.439453125, 0.439453125, 0.70001220703125)	(314, 423, 223)	(314, 423, 223)	12
19	topcow_ct_020	(0.4609375, 0.4609375, 0.75)	(0.4609375, 0.4609375, 0.75)	(290, 387, 200)	(290, 387, 200)	12
20	topcow_ct_021	(0.4921875, 0.4921875, 0.70001220703125)	(0.4921875, 0.4921875, 0.70001220703125)	(275, 345, 205)	(275, 345, 205)	12
21	topcow_ct_022	(0.486328125, 0.486328125, 0.70001220703125)	(0.486328125, 0.486328125, 0.70001220703125)	(287, 351, 224)	(287, 351, 224)	15
22	topcow_ct_023	(0.419921875, 0.419921875, 0.70001220703125)	(0.419921875, 0.419921875, 0.70001220703125)	(338, 396, 204)	(338, 396, 204)	12
23	topcow_ct_024	(0.451171875, 0.451171875, 0.699951171875)	(0.451171875, 0.451171875, 0.699951171875)	(300, 366, 223)	(300, 366, 223)	12
24	topcow_ct_025	(0.48828125, 0.48828125, 0.70001220703125)	(0.48828125, 0.48828125, 0.70001220703125)	(271, 340, 206)	(271, 340, 206)	12
